first_seen,last_seen,Keyword_x,Suggestion,is_new,blogpost_created,category,blogpost_title,silot_terms,cornerstone,cluster,Keyword_y,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques algérie 2021,True,False,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques d'été 2022,True,False,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques organisés en france,True,False,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques résultats france,True,False,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques d'hiver,True,False,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques définition,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques classement des médailles,True,False,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques karaté,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques activités pédagogiques,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques montréal,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 7 août,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques athlétisme,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques antiques exposé,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,xvies jeux olympiques d'hiver,True,False,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques football 2021,True,False,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques aujourd'hui,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,astérix aux jeux olympiques zidane,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques handball féminin,True,False,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques d'été de 2024,True,False,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques québec 1976,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 776 avant j-c,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tableau des médailles,True,False,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques football cote d'ivoire,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 28/07,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 6ème,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 6 août,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques football équipe de france,True,False,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,italie jeux olympiques d'hiver de 2022,True,False,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques grèce antique,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques d'été,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques cote d'ivoire,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques d'hiver 2022,True,False,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,c'est quoi les jeux olympiques,True,False,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique tir a l'arc,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique natation français,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique prothèse,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,le champion paralympique sud-africain,True,False,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,championne paralympique française,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique d'haltérophilie,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique procès,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique français 2021,True,False,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique condamné,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,championne paralympique du 100 mètres,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,vice-champion paralympique,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique développé couché,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,champion paralympique français,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion paralympique,championne paralympique d'athlétisme,True,False,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique rugby à 7,True,False,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique cyclisme sur piste français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique athlétisme,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo français,True,False,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique athlétisme français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique voile français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique ski de fond français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique kiné,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique marathon français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,un champion olympique français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique tir à l'arc,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique kenya,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique biathlon français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique escrime français,True,False,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique lutte français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique natation français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique judo france,True,False,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique lutte gréco-romaine,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique combiné nordique,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique saut d'obstacle,True,False,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique triathlon français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique français liste,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique le plus agé,True,False,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique canoë-kayak français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique karaté français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique 400 mètres,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique natation france,True,False,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique kayak français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique tir a l'arc français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique rugby à 7 homme,True,False,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique le plus titré,True,False,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique aviron français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique haltérophilie,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,néron champion olympique persona 5,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique saut à la perche,True,False,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique de tir français,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique handball féminin,True,False,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique algérien judo,True,False,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique francais athlétisme,True,False,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,champion olympique,champion olympique français natation,True,False,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,
