first_seen,last_seen,Keyword_x,Suggestion,is_new,blogpost_created,category,blogpost_title,silot_terms,cornerstone,cluster,Keyword_y,Currency,Segmentation,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique de tokyo 2020,True,False,,,,,0,jeux paralympique de tokyo 2020,EUR,,5000.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique medailles,True,False,,,,,22,jeux paralympique medailles,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique tokyo 2020,True,False,,,,,0,jeux paralympique tokyo 2020,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques rio 2016,True,False,,,,,3,jeux olympiques rio 2016,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1980,True,False,,,,,3,jeux olympiques 1980,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques escalade,True,False,,,,,3,jeux olympiques escalade,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques equitation,True,False,,,,,3,jeux olympiques equitation,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques russie,True,False,,,,,3,jeux olympiques russie,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques barcelone,True,False,,,,,3,jeux olympiques barcelone,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques berlin,True,False,,,,,3,jeux olympiques berlin,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques belgique,True,False,,,,,3,jeux olympiques belgique,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques foot 2021,True,False,,,,,18,jeux olympiques foot 2021,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques sotchi,True,False,,,,,3,jeux olympiques sotchi,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques antiques,True,False,,,,,3,jeux olympiques antiques,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques calendrier,True,False,,,,,3,jeux olympiques calendrier,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques algerie,True,False,,,,,3,jeux olympiques algerie,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1992,True,False,,,,,3,jeux olympiques 1992,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques japon,True,False,,,,,3,jeux olympiques japon,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques japon 2021,True,False,,,,,18,jeux olympiques japon 2021,EUR,,5000.0,-90%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques wikipedia,True,False,,,,,3,jeux olympiques wikipedia,EUR,,5000.0,900%,900%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques rio,True,False,,,,,3,jeux olympiques rio,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques cyclisme 2021,True,False,,,,,18,jeux olympiques cyclisme 2021,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques hockey,True,False,,,,,3,jeux olympiques hockey,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques handball 2021,True,False,,,,,8,jeux olympiques handball 2021,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques hiver 2022 programme,True,False,,,,,15,jeux olympiques hiver 2022 programme,EUR,,5000.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1976,True,False,,,,,3,jeux olympiques 1976,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tennis,True,False,,,,,14,jeux olympiques tennis,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tunisie,True,False,,,,,3,jeux olympiques tunisie,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques horaires,True,False,,,,,3,jeux olympiques horaires,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques surf,True,False,,,,,3,jeux olympiques surf,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques de 1932,True,False,,,,,3,jeux olympiques de 1932,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques chine 2022,True,False,,,,,6,jeux olympiques chine 2022,EUR,,5000.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques football masculin,True,False,,,,,3,jeux olympiques football masculin,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques skate,True,False,,,,,3,jeux olympiques skate,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tokyo 2021 programme,True,False,,,,,0,jeux olympiques tokyo 2021 programme,EUR,,5000.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques natation,True,False,,,,,3,jeux olympiques natation,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques foot feminin,True,False,,,,,3,jeux olympiques foot feminin,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques hiver 2026,True,False,,,,,15,jeux olympiques hiver 2026,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques canada,True,False,,,,,3,jeux olympiques canada,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques chine,True,False,,,,,3,jeux olympiques chine,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques foot france,True,False,,,,,23,jeux olympiques foot france,EUR,,5000.0,0%,-99%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques atlanta,True,False,,,,,3,jeux olympiques atlanta,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tennis 2021,True,False,,,,,14,jeux olympiques tennis 2021,EUR,,5000.0,900%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques cyclisme,True,False,,,,,3,jeux olympiques cyclisme,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques albertville,True,False,,,,,3,jeux olympiques albertville,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques londres,True,False,,,,,3,jeux olympiques londres,EUR,,5000.0,900%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques vtt,True,False,,,,,3,jeux olympiques vtt,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques basket 2021,True,False,,,,,18,jeux olympiques basket 2021,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques radio canada,True,False,,,,,3,jeux olympiques radio canada,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques roc,True,False,,,,,3,jeux olympiques roc,EUR,,5000.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques biathlon,True,False,,,,,3,jeux olympiques biathlon,EUR,,5000.0,-90%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques judo 2021,True,False,,,,,10,jeux olympiques judo 2021,EUR,,5000.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques volley france,True,False,,,,,23,jeux olympiques volley france,EUR,,5000.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques en france,True,False,,,,,23,jeux olympiques en france,EUR,,5000.0,0%,0%,Low,0.0,0.04,0.04,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques gymnastique 2021,True,False,,,,,18,jeux olympiques gymnastique 2021,EUR,,5000.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique 2024,True,False,,,,,27,jeux paralympique 2024,EUR,,5000.0,0%,0%,Low,1.0,0.59,1.52,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 1924,True,False,,,,,27,jeux olympiques paris 1924,EUR,,5000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1968,True,False,,,,,3,jeux olympiques 1968,EUR,,5000.0,-90%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques gymnastique,True,False,,,,,3,jeux olympiques gymnastique,EUR,,5000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1932,True,False,,,,,3,jeux olympiques 1932,EUR,,5000.0,-90%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques golf,True,False,,,,,1,jeux olympiques golf,EUR,,5000.0,-90%,-90%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1924,True,False,,,,,3,jeux olympiques 1924,EUR,,5000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1936,True,False,,,,,3,jeux olympiques 1936,EUR,,5000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,youtube jeux olympiques,True,False,,,,,20,youtube jeux olympiques,EUR,,5000.0,0%,0%,Low,1.0,0.01,0.55,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1972,True,False,,,,,3,jeux olympiques 1972,EUR,,5000.0,0%,0%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques france tv,True,False,,,,,23,jeux olympiques france tv,EUR,,5000.0,0%,-90%,Low,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques de paris,True,False,,,,,27,jeux olympiques de paris,EUR,,5000.0,900%,900%,Low,2.0,0.27,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques paris 2024,True,False,,,,,27,jeux olympiques paris 2024,EUR,,5000.0,0%,0%,Low,2.0,0.26,1.38,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques en direct,True,False,,,,,16,jeux olympiques en direct,EUR,,5000.0,0%,0%,Low,2.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques judo,True,False,,,,,10,jeux olympiques judo,EUR,,5000.0,0%,0%,Low,2.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques beijing 2022,True,False,,,,,6,jeux olympiques beijing 2022,EUR,,5000.0,-90%,0%,Low,2.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques logo,True,False,,,,,3,jeux olympiques logo,EUR,,5000.0,0%,0%,Low,3.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques grenoble,True,False,,,,,3,jeux olympiques grenoble,EUR,,5000.0,0%,0%,Low,3.0,0.18,1.06,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques streaming,True,False,,,,,3,jeux olympiques streaming,EUR,,5000.0,0%,0%,Low,3.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques tokyo 2020,True,False,,,,,0,jeux olympiques tokyo 2020,EUR,,5000.0,0%,-90%,Low,4.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques live,True,False,,,,,3,jeux olympiques live,EUR,,5000.0,0%,0%,Low,5.0,0.41,1.78,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques sport,True,False,,,,,3,jeux olympiques sport,EUR,,5000.0,0%,0%,Low,5.0,0.11,0.81,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques italie,True,False,,,,,3,jeux olympiques italie,EUR,,5000.0,0%,0%,Low,5.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,qui veut gagner des millions jeux,True,False,,,,,3,qui veut gagner des millions jeux,EUR,,5000.0,-90%,-90%,Low,10.0,0.11,0.63,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique classement,True,False,,,,,22,jeux paralympique classement,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique medaille france,True,False,,,,,23,jeux paralympique medaille france,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu paralympique programme,True,False,,,,,13,jeu paralympique programme,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique algerie,True,False,,,,,22,jeux paralympique algerie,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques rugby fauteuil,True,False,,,,,5,jeux paralympiques rugby fauteuil,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique 2016,True,False,,,,,22,jeux paralympique 2016,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeu paralympique natation,True,False,,,,,13,jeu paralympique natation,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques pekin,True,False,,,,,30,jeux paralympiques pekin,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique hiver,True,False,,,,,15,jeux paralympique hiver,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,carates en la piel,True,False,,,,,16,carates en la piel,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique resultat,True,False,,,,,22,jeux paralympique resultat,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques football,True,False,,,,,30,jeux paralympiques football,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique programme,True,False,,,,,22,jeux paralympique programme,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique diffusion,True,False,,,,,22,jeux paralympique diffusion,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique tableau medaille,True,False,,,,,22,jeux paralympique tableau medaille,EUR,,500.0,0%,â,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques rio,True,False,,,,,30,jeux paralympiques rio,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique equitation,True,False,,,,,22,jeux paralympique equitation,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques france tv,True,False,,,,,23,jeux paralympiques france tv,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique france,True,False,,,,,23,jeux paralympique france,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique de tokyo,True,False,,,,,0,jeux paralympique de tokyo,EUR,,500.0,0%,-90%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympiques logo,True,False,,,,,30,jeux paralympiques logo,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux paralympique,jeux paralympique tennis,True,False,,,,,14,jeux paralympique tennis,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques velo,True,False,,,,,3,jeux olympiques velo,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques 1900,True,False,,,,,3,jeux olympiques 1900,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques ouverture,True,False,,,,,3,jeux olympiques ouverture,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques villes,True,False,,,,,3,jeux olympiques villes,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
2022-07-12,2022-07-12,jeux olympiques,jeux olympiques nagano,True,False,,,,,3,jeux olympiques nagano,EUR,,500.0,0%,0%,Low,0.0,,,,,,,,,,,,,,,,,,
